ev_time_on_ice,ev_time_on_ice_per_game,games_played,last_name,ot_time_on_ice,ot_time_on_ice_per_ot_game,player_id,position_code,pp_time_on_ice,pp_time_on_ice_per_game,season_id,sh_time_on_ice,sh_time_on_ice_per_game,shifts,shifts_per_game,shoots_catches,skater_full_name,team_abbrevs,time_on_ice,time_on_ice_per_game,time_on_ice_per_shift
45979,792.74137,58,Howden,1163,55.38095,8479353,C,2256,38.89655,20252026,3594,61.96551,1179,20.32758,L,Brett Howden,VGK,51829,893.60344,43.96013
62490,1096.31578,57,Kuznetsov,160,17.77777,8482165,D,192,3.36842,20252026,6008,105.4035,1628,28.5614,L,Yan Kuznetsov,CGY,68690,1205.08771,42.19287
30708,538.73684,57,Lomberg,0,0,8479066,L,57,1,20252026,167,2.92982,727,12.75438,L,Ryan Lomberg,CGY,30932,542.66666,42.54745
48472,850.38596,57,Duchene,956,56.23529,8475168,C,7938,139.26315,20252026,53,0.92982,1085,19.03508,L,Matt Duchene,DAL,56463,990.57894,52.03963
63533,1114.61403,57,Chabot,558,42.92307,8478469,D,8168,143.29824,20252026,5519,96.82456,1556,27.29824,L,Thomas Chabot,OTT,77220,1354.73684,49.62724
34319,612.83928,56,Eyssimont,0,0,8479591,C,2210,39.46428,20252026,127,2.26785,833,14.875,L,Michael Eyssimont,BOS,36656,654.57142,44.0048
32552,581.28571,56,Pearson,0,0,8476871,L,615,10.98214,20252026,3230,57.67857,900,16.07142,L,Tanner Pearson,"WPG,BUF",36397,649.94642,40.44111
31641,565.01785,56,Jarnkrok,0,0,8475714,C,793,14.16071,20252026,7346,131.17857,934,16.67857,R,Calle Jarnkrok,TOR,39780,710.35714,42.591
30877,551.375,56,Tanev,0,0,8479293,L,38,0.67857,20252026,529,9.44642,824,14.71428,L,Brandon Tanev,UTA,31444,561.5,38.16019
58709,1048.375,56,Klingberg,464,35.6923,8475906,D,9929,177.30357,20252026,130,2.32142,1211,21.625,R,John Klingberg,SJS,68768,1228,56.78612
48839,872.125,56,Gudas,276,15.33333,8475462,D,120,2.14285,20252026,5416,96.71428,1174,20.96428,R,Radko Gudas,ANA,54375,970.98214,46.31601
37887,676.55357,56,Foligno,0,0,8475220,L,471,8.41071,20252026,4802,85.75,872,15.57142,L,Marcus Foligno,MIN,43160,770.71428,49.49541
28420,507.5,56,Brindley,25,2.08333,8484149,C,3499,62.48214,20252026,174,3.10714,720,12.85714,R,Gavin Brindley,COL,32093,573.08928,44.57361
52671,940.55357,56,Fiala,1931,83.95652,8477942,L,11449,204.44642,20252026,128,2.28571,1120,20,L,Kevin Fiala,LAK,64248,1147.28571,57.36428
48496,866,56,Malkin,1114,92.83333,8471215,C,10606,189.39285,20252026,13,0.23214,1092,19.5,L,Evgeni Malkin,PIT,59115,1055.625,54.13461
36557,664.67272,55,Grebenkin,0,0,8483733,R,676,12.2909,20252026,13,0.23636,832,15.12727,L,Nikita Grebenkin,PHI,37246,677.2,44.76682
52836,960.65454,55,Gostisbehere,1310,93.57142,8476906,D,10432,189.67272,20252026,199,3.61818,1214,22.07272,L,Shayne Gostisbehere,CAR,63467,1153.94545,52.27924
54395,989,55,Carlo,0,0,8478443,D,84,1.52727,20252026,9427,171.4,1518,27.6,R,Brandon Carlo,TOR,63906,1161.92727,42.09881
37668,684.87272,55,Joshua,0,0,8478057,C,865,15.72727,20252026,1886,34.2909,953,17.32727,L,Dakota Joshua,TOR,40419,734.8909,42.41238
64503,1172.78181,55,Fox,918,91.8,8479323,D,10915,198.45454,20252026,2557,46.4909,1449,26.34545,R,Adam Fox,NYR,77975,1417.72727,53.81297
47272,859.4909,55,Hutton,0,0,8477018,D,791,14.38181,20252026,72,1.30909,1038,18.87272,L,Ben Hutton,VGK,48135,875.18181,46.37283
37384,679.70909,55,Lizotte,191,11.9375,8481481,C,198,3.6,20252026,8204,149.16363,1050,19.0909,L,Blake Lizotte,PIT,45786,832.47272,43.60571
34750,631.81818,55,Brodzinski,0,0,8477380,C,2117,38.4909,20252026,0,0,840,15.27272,R,Jonny Brodzinski,NYR,36867,670.30909,43.88928
33603,622.27777,54,Foligno,75,5.35714,8473422,L,3420,63.33333,20252026,3962,73.37037,910,16.85185,L,Nick Foligno,"CHI,MIN",40985,758.98148,45.03846
